CT,REG,COM,Nom,HApoly,Surfacesbois,Surfacescult,Alp,Airbat,Airind,P00BMTOT,P00BWTOT,Pop020,Pop2040,Pop4065,Pop65P,H00PTOT,H00P01,H00P02,H00P03,H00P04,POPTOT
8,5,1617,Mollis,2187,980,607,287,63,12,1463,1511,740,824,983,427,1225,402,383,173,267,2974
1,4,27,Feuerthalen,249,109,40,0,50,10,1437,1536,620,854,935,564,1303,465,461,156,221,2973
2,2,794,Zweisimmen,7302,2407,960,3154,99,7,1434,1536,643,695,1005,627,1259,405,433,179,242,2970
19,3,4065,Dottikon,387,88,184,0,59,21,1508,1461,705,918,1025,321,1188,328,388,188,284,2969
3,6,1026,Eschenbach (LU),1323,191,978,0,58,10,1500,1466,779,913,872,402,1070,274,331,140,325,2966
1,4,173,Hittnau,1294,481,650,0,58,3,1481,1484,886,851,992,236,1129,294,368,146,321,2965
23,1,6244,Randogne,1688,509,209,253,114,0,1438,1525,602,1121,865,375,1014,393,319,132,170,2963
23,1,6159,Vouvry,3354,1205,532,666,75,24,1441,1519,797,780,938,445,1121,327,346,172,276,2960
2,2,342,Thunstetten,965,257,560,0,78,15,1505,1452,750,816,957,434,1207,333,437,164,273,2957
2,2,573,Brienz (BE),4799,1597,390,1470,103,9,1442,1514,754,754,920,528,1263,444,398,158,263,2956
22,1,5841,Chateau-d'Oex,11378,3901,1255,3803,155,5,1409,1540,705,689,921,634,1350,550,424,138,238,2949
2,2,406,Hasle bei Burgdorf,2189,699,1325,0,56,11,1454,1494,723,836,896,493,1190,347,410,162,271,2948
2,2,496,Ins,2391,509,1633,0,91,6,1498,1449,732,829,861,525,1144,334,403,157,250,2947
22,1,5582,Cheseaux-sur-Lausanne,460,67,301,0,50,12,1447,1492,743,913,1010,273,1225,382,374,193,276,2939
2,2,956,Ruegsau,1509,356,1022,0,75,5,1444,1491,715,794,901,525,1167,355,380,148,284,2935
3,6,1104,Triengen,849,180,534,0,61,10,1488,1438,888,855,839,344,1028,262,289,137,340,2926
2,2,619,Oberdiessbach,815,341,373,0,50,14,1453,1463,763,756,913,484,1079,271,375,134,299,2916
16,5,3103,Rute,4083,1301,1364,914,76,7,1518,1397,915,804,776,420,1014,254,264,144,352,2915
2,2,584,Lauterbrunnen,16456,2692,589,3260,118,3,1451,1463,653,838,877,546,1198,453,390,167,188,2914
22,1,5648,Saint-Sulpice (VD),185,10,34,0,81,14,1438,1476,504,747,1196,467,1329,451,473,192,213,2914
20,5,4571,Gachnang,966,160,628,0,79,16,1499,1407,850,820,1005,231,1124,302,367,145,310,2906
1,4,219,Elsau,806,209,455,0,71,6,1490,1410,736,758,1023,383,1129,263,404,178,284,2900
17,5,3217,Steinach,448,31,286,0,59,19,1447,1452,654,862,936,447,1267,409,448,156,254,2899
17,5,3394,Mosnang,5047,2464,2137,253,91,4,1490,1404,1023,748,741,382,928,221,233,123,351,2894
1,4,55,Eglisau,904,374,323,0,63,9,1462,1431,682,749,1043,419,1170,324,450,125,271,2893
11,2,2401,Egerkingen,696,367,193,4,59,21,1466,1418,684,905,910,385,1138,338,385,172,243,2884
2,2,907,Signau,2208,785,1244,0,69,12,1457,1421,777,845,845,411,1063,288,340,131,304,2878
20,5,4891,Berg (TG),1309,220,937,0,81,5,1431,1445,849,745,853,429,1053,291,339,132,291,2876
7,6,1508,Oberdorf (NW),1625,619,636,220,60,15,1459,1413,829,834,916,293,1054,301,286,146,321,2872
17,5,3272,Gams,2227,674,1060,271,78,7,1436,1431,893,759,871,344,996,262,278,130,326,2867
3,6,1136,Menznau,3038,1056,1777,23,70,19,1449,1401,872,899,746,333,929,215,243,126,345,2850
2,2,358,Stettlen,352,89,187,0,43,6,1404,1429,688,776,1025,344,1164,326,427,160,251,2833
1,4,249,Unterengstringen,333,90,122,0,49,6,1399,1433,545,755,1151,381,1281,453,447,172,209,2832
1,4,180,Weisslingen,1284,560,578,0,72,2,1411,1416,775,691,1050,311,1076,242,376,152,306,2827
7,6,1501,Beckenried,2422,886,451,743,66,6,1456,1369,709,843,880,393,1164,406,355,145,258,2825
8,5,1620,Netstal,1067,349,193,134,45,23,1409,1404,690,763,873,487,1109,326,369,136,278,2813
11,2,2556,Selzach,1948,751,834,147,85,16,1427,1383,654,717,986,453,1143,317,400,180,246,2810
19,3,4165,Gipf-Oberfrick,1019,413,515,0,49,1,1415,1393,773,832,941,262,1074,281,331,151,311,2808
8,5,1607,Ennenda,2223,838,318,472,39,16,1406,1402,668,721,865,554,1120,343,385,148,244,2808
2,2,303,Grossaffoltern,1503,392,930,0,69,5,1404,1396,713,738,962,387,1105,256,417,145,287,2800
2,2,745,Port,245,74,74,0,60,5,1379,1420,568,670,1057,504,1230,378,489,138,225,2799
2,2,667,Laupen,412,121,164,0,54,13,1350,1446,659,743,963,431,1188,383,434,147,224,2796
5,6,1345,Reichenburg,1159,398,463,192,41,18,1399,1388,776,875,806,330,1032,274,312,154,292,2787
25,1,6638,Satigny,1897,368,1147,0,95,98,1435,1350,692,831,955,307,1043,290,315,176,262,2785
22,1,5749,Chavornay,1107,178,739,0,62,19,1377,1408,787,900,822,276,1159,388,346,145,280,2785
25,1,6632,Perly-Certoux,248,11,172,0,33,1,1371,1411,659,909,978,236,1152,340,363,234,215,2782
5,6,1373,Steinen,1184,262,624,1,42,9,1409,1366,801,914,746,314,1014,269,294,135,316,2775
18,5,3921,Arosa,4253,647,88,1697,68,4,1406,1365,405,1227,829,310,1192,622,334,118,118,2771
15,5,3022,Gais,2123,938,943,97,70,7,1392,1378,779,651,882,458,1097,347,354,123,273,2770
2,2,886,Wattenwil,1454,702,611,0,59,5,1365,1405,727,743,811,489,1059,354,321,137,247,2770
22,1,5561,Grandson,790,85,543,0,67,6,1376,1383,711,745,875,428,1134,403,352,145,234,2759
21,7,5268,Vacallo,162,60,22,0,51,0,1344,1414,517,770,989,482,1169,326,399,231,213,2758
17,5,3295,Quarten,6179,2824,579,1492,95,10,1399,1350,745,765,835,404,1012,301,300,133,278,2749
1,4,101,Steinmaur,937,274,539,0,58,4,1426,1316,613,812,1033,284,1180,369,413,185,213,2742
19,3,4279,Murgenthal,1865,1180,529,0,64,7,1355,1386,691,742,871,437,1039,271,359,134,275,2741
2,2,418,Oberburg,1412,478,815,0,68,8,1312,1428,637,792,891,420,1099,322,385,148,244,2740
2,2,354,Kirchlindach,1196,278,810,0,64,1,1323,1413,588,673,1055,420,1118,313,420,159,226,2736
26,2,6709,Courroux,1970,760,903,163,77,10,1348,1385,706,793,912,322,1115,340,341,172,262,2733
3,6,1086,Grosswangen,1971,302,1541,0,70,6,1371,1360,844,856,698,333,905,217,234,107,347,2731
18,5,3945,Trimmis,2840,1181,394,584,45,24,1350,1374,739,858,902,225,1077,278,356,167,276,2724
2,2,668,Muhleberg,2625,866,1409,0,78,8,1359,1363,588,790,1014,330,1139,304,438,157,240,2722
11,2,2476,Hofstetten-Fluh,752,334,289,26,69,6,1372,1345,692,679,1053,293,1082,242,420,155,265,2717
18,5,3668,Thusis,681,398,98,25,37,24,1370,1347,587,814,865,451,1165,438,362,159,206,2717
23,1,6234,Chermignon,538,160,236,0,76,4,1341,1370,575,696,964,476,1104,345,358,175,226,2711
19,3,4309,Klingnau,669,241,246,0,59,21,1351,1359,695,664,971,380,1125,358,370,127,270,2710
21,7,5227,Torricella-Taverne,524,361,30,20,50,15,1314,1390,684,789,936,295,1036,252,296,218,270,2704
24,2,6505,Couvet,1641,733,401,334,70,14,1286,1417,627,673,849,554,1187,422,380,156,229,2703
2,2,533,Batterkinden,1017,250,634,0,62,12,1273,1427,740,662,987,311,1072,264,384,153,271,2700
18,5,3506,Vaz/Obervaz,4251,1675,546,1241,152,3,1349,1342,573,859,859,400,1099,415,346,125,213,2691
19,3,4146,Unterkulm,886,350,427,0,66,8,1356,1334,683,735,916,356,1050,271,362,141,276,2690
3,6,1094,Nottwil,1031,92,803,0,86,2,1351,1331,750,914,793,225,985,279,278,140,288,2682
2,2,903,Lauperswil,2121,729,1217,0,66,9,1338,1343,703,733,816,429,1021,279,331,149,262,2681
3,6,1083,Buttisholz,1675,285,1236,0,67,11,1341,1339,859,786,739,296,896,198,241,119,338,2680
13,3,2764,Biel-Benken,412,83,241,0,60,3,1350,1329,616,649,1047,367,1054,221,424,175,234,2679
21,7,5120,Muralto,60,2,2,0,41,0,1225,1451,403,667,899,707,1448,779,371,149,149,2676
3,6,1095,Oberkirch,910,122,675,0,58,9,1337,1324,733,889,763,276,991,281,283,140,287,2661
23,1,6232,Chalais,2446,1660,268,188,107,8,1320,1337,639,728,868,422,1045,308,341,164,232,2657
19,3,4011,Rohr (AG),339,134,108,0,44,2,1292,1360,583,780,944,345,1191,402,401,179,209,2652
22,1,5717,Founex,480,12,324,0,107,0,1280,1368,753,677,956,262,986,238,294,151,303,2648
5,6,1347,Tuggen,1352,300,849,0,38,12,1324,1322,735,861,806,244,999,263,300,145,291,2646
21,7,5019,Sementina,825,556,109,39,52,8,1290,1356,554,792,928,372,1072,283,346,229,214,2646
18,5,3962,Schiers,6168,2733,636,1620,67,9,1326,1311,760,694,738,445,967,308,291,137,231,2637
24,2,6454,Hauterive,212,127,31,0,31,2,1293,1344,528,815,909,385,1227,475,381,169,202,2637
17,5,3334,Gommiswald,1185,583,447,54,59,4,1327,1307,734,735,802,363,1006,271,345,134,256,2634
23,1,6034,Orsieres,16503,4163,638,2131,118,6,1335,1295,713,693,804,420,990,306,283,137,264,2630
10,2,2306,Tafers,840,181,552,0,62,14,1304,1323,610,730,862,425,959,226,335,143,255,2627
11,2,2532,Subingen,625,190,325,0,51,13,1305,1320,699,822,799,305,1046,272,332,178,264,2625
1,4,13,Stallikon,1201,617,474,0,61,4,1349,1259,561,727,1083,237,1078,275,433,156,214,2608
20,5,4726,Fischingen,3065,1415,1434,24,77,10,1321,1284,831,661,774,339,932,270,252,122,288,2605
19,3,4100,Hausen bei Brugg,322,153,86,0,46,1,1349,1254,618,863,840,282,1041,285,376,127,253,2603
22,1,5711,Commugny,652,131,403,0,89,0,1278,1325,719,633,1037,214,869,155,255,183,276,2603
11,2,2572,Daniken,541,187,189,0,57,27,1288,1314,577,797,910,318,1068,271,390,177,230,2602
22,1,5882,Chardonne,1031,383,443,45,94,0,1290,1311,532,767,816,486,1018,333,382,124,179,2601
8,5,1627,Schwanden (GL),3065,1174,171,817,38,20,1257,1344,622,614,796,569,1017,321,333,131,232,2601
17,5,3423,Niederhelfenschwil,1633,323,1159,0,81,6,1341,1258,881,758,686,274,870,176,240,126,328,2599
20,5,4691,Munsterlingen,542,109,309,0,68,7,1283,1316,679,743,865,312,1000,349,293,129,229,2599
19,3,4131,Beinwil am See,384,79,201,0,68,5,1265,1316,610,655,821,495,1069,336,380,126,227,2581
19,3,4200,Hunzenschwil,326,78,128,0,49,23,1311,1264,587,825,873,290,1105,361,380,143,221,2575
22,1,5422,Aubonne,688,92,464,0,62,14,1216,1354,600,738,840,392,1102,379,348,165,210,2570
22,1,5477,Cossonay,832,182,537,0,54,5,1255,1303,707,832,788,231,1050,333,300,169,248,2558
2,2,590,Ringgenberg (BE),875,541,139,44,60,7,1206,1348,593,688,783,490,1052,349,359,134,210,2554
11,2,2428,Mumliswil-Ramiswil,3553,1608,1110,679,82,3,1313,1240,710,667,760,416,962,265,274,140,283,2553
18,5,3732,Flims,5048,1457,454,1248,117,1,1262,1287,541,814,829,365,1139,502,358,112,167,2549
22,1,5451,Avenches,1643,276,1131,0,55,27,1252,1292,627,706,828,383,1048,337,342,164,205,2544
21,7,5251,Coldrerio,246,37,111,0,57,1,1221,1317,519,717,891,411,1074,326,324,194,230,2538
19,3,4208,Seengen,968,319,531,0,65,1,1247,1279,721,639,852,314,952,256,312,115,269,2526
19,3,4207,Schafisheim,638,263,253,0,51,16,1261,1257,686,712,869,251,970,245,334,121,270,2518
2,2,744,Orpund,397,147,153,0,54,7,1255,1247,530,654,916,402,1106,347,413,154,192,2502
2,2,623,Rubigen,693,139,390,0,53,12,1218,1284,522,813,880,287,990,286,358,144,202,2502
2,2,901,Eggiwil,6032,2420,2502,785,103,5,1299,1202,729,633,740,399,825,168,226,132,299,2501
23,1,6022,Chamoson,3247,993,624,227,107,4,1240,1257,548,642,823,484,1008,292,349,144,223,2497
18,5,3574,Ilanz,446,223,117,0,46,7,1078,1410,595,684,737,472,922,345,251,134,192,2488
1,4,224,Pfungen,498,210,160,0,48,13,1278,1208,630,763,807,286,1040,341,333,142,224,2486
11,2,2580,Kappel (SO),509,249,176,0,54,4,1258,1228,615,689,874,308,991,245,364,148,234,2486
2,2,307,Meikirch,1023,271,663,0,60,2,1215,1267,640,643,882,317,980,239,360,134,247,2482
2,2,414,Krauchthal,1943,966,848,0,63,2,1343,1137,617,832,774,257,890,219,303,116,252,2480
19,3,4072,Niederwil (AG),613,186,324,0,46,7,1194,1277,659,637,803,372,805,182,238,125,260,2471
20,5,4431,Roggwil (TG),1204,149,883,0,81,8,1258,1204,693,701,800,268,934,223,320,145,246,2462
19,3,4035,Niederrohrdorf,334,98,149,0,54,4,1242,1201,591,682,871,299,987,273,336,127,251,2443
2,2,751,Tauffelen,440,53,269,0,64,3,1216,1221,543,586,931,377,1031,286,404,130,211,2437
26,2,6708,Courrendlin,1110,455,442,60,52,28,1169,1266,632,728,750,325,968,271,303,158,236,2435
13,3,2869,Zunzgen,688,354,251,0,43,5,1240,1193,639,632,874,288,950,224,331,154,241,2433
18,5,3721,Bonaduz,1439,886,281,83,36,15,1187,1246,693,708,767,265,962,281,288,151,242,2433
20,5,4646,Ermatingen,1044,438,432,0,74,12,1216,1211,543,613,824,447,1072,369,365,128,210,2427
20,5,4751,Rickenbach (TG),157,18,77,0,35,7,1245,1181,604,850,745,227,1032,344,324,140,224,2426
24,2,6414,Saint-Aubin-Sauges,771,301,280,99,56,2,1178,1248,565,620,828,413,1008,336,332,125,215,2426
20,5,4421,Horn,165,15,71,0,39,16,1210,1211,564,698,734,425,1057,368,367,115,207,2421
2,2,703,Reconvilier,824,347,256,119,57,7,1157,1260,539,622,758,498,1008,350,349,125,184,2417
19,3,4260,Stein (AG),282,66,87,0,38,17,1218,1196,596,727,829,262,1037,369,319,139,210,2414
2,2,995,Wiedlisbach,749,219,373,0,49,18,1169,1245,515,651,727,521,959,332,323,127,177,2414
19,3,4042,Turgi,155,55,27,0,35,2,1208,1192,508,808,786,298,1086,423,341,131,191,2400
20,5,4831,Mullheim,873,269,444,0,64,9,1203,1195,715,695,748,240,906,251,259,138,258,2398
11,2,2576,Gretzenbach,583,214,252,0,60,14,1188,1205,693,631,810,259,887,210,265,146,266,2393
3,6,1139,Pfaffnau,1763,445,1154,0,80,4,1185,1205,608,628,795,359,780,205,216,119,240,2390
2,2,749,Studen,272,53,116,0,37,25,1141,1246,568,687,901,231,1012,273,393,141,205,2387
1,4,221,Hettlingen,589,126,356,0,51,4,1159,1224,630,643,816,294,910,198,347,116,249,2383
2,2,621,Oberwichtrach,557,116,357,0,47,7,1203,1174,609,686,818,264,938,235,333,125,245,2377
2,2,372,Evilard,367,147,109,0,72,0,1149,1227,477,499,909,491,995,294,397,126,178,2376
21,7,5260,Novazzano,518,171,212,0,66,14,1153,1216,482,677,789,421,941,222,299,213,207,2369
18,5,3953,Maienfeld,3232,1034,696,737,62,8,1176,1192,534,650,761,423,940,313,287,136,204,2368
1,4,88,Neerach,606,33,389,0,57,0,1218,1148,497,709,947,213,988,238,393,158,199,2366
23,1,6154,Port-Valais,1434,771,305,33,58,13,1217,1147,598,806,695,265,922,357,254,135,176,2364
22,1,5712,Coppet,187,7,70,0,87,0,1179,1181,626,601,896,237,884,249,253,146,236,2360
3,6,1081,Beromunster,285,26,187,0,34,5,1179,1179,691,645,661,361,849,253,230,115,251,2358
22,1,5581,Belmont-sur-Lausanne,264,79,100,0,52,1,1166,1192,575,682,858,243,988,284,345,154,205,2358
22,1,5607,Puidoux,2286,565,1383,83,70,18,1165,1174,593,731,722,293,970,317,282,158,213,2339
11,2,2526,Lohn-Ammannsegg,445,131,230,0,54,9,1140,1199,554,568,848,369,902,190,358,128,226,2339
2,2,792,Lenk,12305,2714,993,3557,116,7,1151,1186,581,619,738,399,916,276,303,122,215,2337
15,5,3006,Urnasch,4825,1977,1457,1141,69,8,1183,1153,653,591,698,394,903,314,260,108,221,2336
2,2,331,Lotzwil,619,231,314,0,39,7,1123,1211,536,661,700,437,978,329,329,108,212,2334
25,1,6642,Vandoeuvres,439,44,185,0,150,0,1143,1190,669,505,804,355,810,187,219,140,264,2333
23,1,6263,Grimisuat,444,84,243,0,83,1,1165,1166,639,626,732,334,834,185,271,153,225,2331
20,5,4591,Matzingen,772,196,443,0,50,8,1177,1147,688,689,708,239,888,238,262,142,246,2324
13,3,2892,Oberdorf (BL),619,279,241,21,52,0,1155,1164,628,580,757,354,887,216,334,97,240,2319
2,2,769,Wimmis,2233,1022,499,173,57,24,1152,1162,595,616,740,363,944,283,316,128,217,2314
19,3,4024,Birmenstorf (AG),778,285,339,0,49,7,1203,1110,604,722,755,232,910,236,316,129,229,2313
19,3,4228,Boswil,1177,259,792,0,57,11,1204,1104,619,693,709,287,882,257,267,119,239,2308
23,1,6243,Montana,489,206,126,15,76,0,1099,1206,480,624,804,397,998,382,304,144,168,2305
23,1,6292,St.Niklaus,8925,1924,227,644,69,5,1152,1152,600,670,679,355,823,203,226,125,269,2304
1,4,60,Hori,481,64,286,0,37,11,1168,1132,593,737,745,225,910,248,300,130,232,2300
23,1,6021,Ardon,2035,627,333,101,49,14,1151,1144,605,738,664,288,847,220,258,150,219,2295
21,7,5131,Tenero-Contra,369,168,52,2,49,7,1121,1174,481,655,746,413,992,351,284,165,192,2295
3,6,1030,Hitzkirch,358,51,241,0,42,9,1073,1220,704,647,640,302,780,198,218,129,235,2293
21,7,5263,Riva San Vitale,597,437,59,0,58,14,1137,1155,511,702,763,316,924,247,287,178,212,2292
10,2,2197,Givisiez,346,80,137,0,39,28,1130,1161,535,905,622,229,828,241,238,151,198,2291
22,1,5636,Etoy,493,33,351,0,41,21,1165,1124,639,801,698,151,822,233,224,152,213,2289
19,3,4312,Lengnau (AG),1264,482,680,0,53,8,1124,1163,641,668,711,267,857,225,272,113,247,2287
22,1,5495,Penthalaz,387,70,214,0,49,13,1095,1188,518,665,732,368,979,314,322,143,200,2283
22,1,5939,Yvonand,1338,442,728,0,62,8,1134,1144,617,613,694,354,862,238,274,121,229,2278
20,5,4721,Bichelsee-Balterswil,1226,451,627,0,59,8,1157,1120,640,607,766,264,869,230,268,121,250,2277
17,5,3406,Mogelsberg,3298,1441,1622,61,60,3,1133,1128,757,507,675,322,781,214,231,94,242,2261
25,1,6636,Puplinge,268,14,195,0,36,1,1195,1063,569,753,746,190,820,237,234,149,200,2258
2,2,905,Ruderswil,1717,400,1186,0,62,6,1136,1122,593,644,669,352,893,247,305,119,222,2258
19,3,4023,Bergdietikon,593,164,328,0,71,5,1112,1144,436,610,888,322,961,240,402,143,176,2256
10,2,2321,Attalens,976,261,612,0,72,3,1115,1137,650,644,681,277,828,216,229,123,260,2252
19,3,4140,Oberkulm,943,348,496,0,60,6,1109,1143,615,574,718,345,826,197,278,111,240,2252
3,6,1032,Hohenrain,1959,343,1511,0,66,3,1153,1087,816,588,610,226,671,140,170,84,277,2240
2,2,594,Wilderswil,1352,757,171,124,44,10,1112,1126,559,657,676,346,935,283,334,121,197,2238
20,5,4941,Marstetten,994,197,670,0,61,12,1135,1099,634,652,703,245,862,232,277,109,244,2234
17,5,3312,Benken (SG),1645,206,1195,0,59,6,1105,1123,709,611,643,265,768,179,204,128,257,2228
2,2,884,Toffen,490,96,322,0,41,7,1109,1114,526,609,816,272,917,249,325,134,209,2223
22,1,5675,Lucens,627,229,261,0,46,24,1091,1130,541,629,689,362,913,312,270,133,198,2221
5,6,1375,Unteriberg,4656,1637,1003,1070,57,8,1124,1096,708,638,628,246,788,194,219,115,260,2220
1,4,91,Niederweningen,687,260,334,0,49,7,1087,1133,600,666,774,180,863,211,293,134,225,2220
10,2,2175,Belfaux,646,200,347,0,60,6,1115,1099,604,700,669,241,836,212,252,138,234,2214
19,3,4210,Staufen,350,113,140,0,51,3,1104,1109,485,567,807,354,932,298,326,117,191,2213
21,7,5004,Camorino,828,555,139,8,54,6,1096,1114,496,623,757,334,934,282,287,170,195,2210
1,4,68,Rorbas,440,209,156,0,39,4,1099,1102,589,687,734,191,908,293,265,139,211,2201
2,2,755,Worben,281,25,175,0,46,6,1070,1129,463,541,746,449,767,180,295,122,170,2199
23,1,6139,Riddes,2387,886,391,504,89,14,1106,1091,491,618,724,364,831,256,257,134,184,2197
10,2,2013,Domdidier,893,133,643,0,65,13,1110,1086,599,674,649,274,819,200,252,147,220,2196
19,3,4313,Leuggern,1376,519,651,0,60,1,1089,1103,591,583,767,251,775,157,256,117,245,2192
18,5,3784,Pontresina,11819,1042,130,1848,54,5,1188,1003,396,873,721,201,768,314,227,106,121,2191
11,2,2494,Niedererlinsbach,585,226,249,0,50,3,1045,1146,524,575,671,421,890,264,307,113,206,2191
20,5,4666,Kemmental,2498,575,1702,0,81,11,1126,1063,691,587,660,251,708,130,225,108,245,2189
2,2,572,Bonigen,1512,809,125,142,40,7,1080,1102,517,557,705,403,925,281,328,116,200,2182
15,5,3037,Walzenhausen,698,241,367,0,60,4,1110,1071,552,547,725,357,875,314,259,109,193,2181
26,2,6710,Courtetelle,1355,487,622,152,55,5,1088,1092,585,634,677,284,859,238,272,129,220,2180
2,2,934,Oberhofen am Thunersee,272,137,52,0,54,0,1035,1144,347,472,846,514,1060,444,380,114,122,2179
18,5,3982,Disentis/Muster,9100,2008,640,1348,63,2,1106,1066,562,496,702,412,824,261,281,103,179,2172
19,3,4234,Merenschwand,1106,124,777,0,47,11,1113,1058,649,698,627,197,787,182,226,129,250,2171
25,1,6622,Genthod,285,40,113,0,110,0,1082,1089,587,494,836,254,736,178,215,106,237,2171
1,4,11,Ottenbach,500,103,281,0,57,6,1070,1094,564,548,845,207,840,207,285,116,232,2164
2,2,879,Riggisberg,767,75,594,0,53,5,1052,1110,496,532,714,420,763,218,249,115,181,2162
21,7,5282,Claro,2122,1529,175,116,70,6,1020,1139,527,641,687,304,797,202,240,147,208,2159
19,3,4076,Sarmenstorf,830,238,494,0,50,5,1058,1088,604,618,673,251,799,209,249,111,230,2146
20,5,4561,Felben-Wellhausen,738,189,420,0,39,14,1085,1060,598,655,701,191,839,222,262,132,223,2145
26,2,6757,Saignelegier,1166,370,385,278,48,6,1061,1084,564,582,617,382,839,269,243,117,210,2145
3,6,1137,Nebikon,373,149,142,0,37,18,1091,1050,577,629,655,280,800,208,238,120,234,2141
20,5,4711,Affeltrangen,1444,226,1063,0,68,9,1114,1021,639,582,664,250,789,200,240,108,241,2135
21,7,5013,Monte Carasso,964,591,41,74,40,3,1048,1085,460,685,690,298,932,315,276,156,185,2133
23,1,6135,Leytron,2686,753,377,383,78,12,1008,1120,447,577,722,382,887,273,300,136,178,2128
1,4,57,Freienstein-Teufen,837,413,331,0,36,4,1066,1061,599,565,776,187,799,189,285,109,216,2127
18,5,3762,Scuol,14414,3701,509,3527,58,6,1002,1120,465,582,690,385,866,300,283,121,162,2122
1,4,246,Oetwil an der Limmat,277,110,100,0,42,0,1100,1020,387,568,936,229,987,327,399,118,143,2120
19,3,4205,Othmarsingen,474,193,170,0,45,18,1057,1060,561,612,685,259,840,229,280,114,217,2117
10,2,2308,Ueberstorf,1612,294,1200,0,63,1,1061,1054,505,631,727,252,833,207,291,115,220,2115
3,6,1023,Ballwil,875,102,670,0,46,7,1095,1017,571,658,684,199,791,197,233,138,223,2112
18,5,3834,Roveredo (GR),3880,2907,106,227,79,5,1021,1087,401,606,725,376,846,274,273,164,135,2108
3,6,1099,Schenkon,670,115,459,0,53,5,1059,1045,607,674,702,121,766,160,236,133,237,2104
19,3,4170,Laufenburg,226,83,49,0,34,15,1040,1056,486,579,641,390,792,253,245,116,178,2096
2,2,420,Rudtligen-Alchenfluh,273,14,181,0,31,9,1049,1045,516,631,692,255,892,303,275,120,194,2094
25,1,6605,Bardonnex,500,26,370,0,44,10,1004,1090,544,620,738,192,803,210,244,145,204,2094
18,5,3946,Untervaz,2772,1298,272,836,38,27,1050,1043,606,625,641,221,796,217,226,118,235,2093
21,7,5201,Montagnola,314,166,29,0,82,16,981,1111,594,478,696,324,810,269,265,135,141,2092
5,6,1370,Rothenthurm,2285,1108,913,93,33,13,1069,1020,650,698,544,197,709,176,185,99,249,2089
20,5,4921,Bussnang,1889,361,1336,0,85,5,1060,1025,625,545,600,315,708,164,226,87,231,2085
22,1,5633,Echandens,387,67,207,0,57,18,1003,1082,466,564,811,244,828,211,272,154,191,2085
17,5,3212,Eggersriet,883,288,507,0,52,0,1018,1061,578,497,759,245,769,179,252,113,225,2079
22,1,5883,Corseaux,107,0,28,0,51,0,979,1100,399,464,737,479,925,308,350,107,160,2079
2,2,883,Seftigen,389,63,265,0,36,5,1024,1052,505,578,708,285,842,231,311,113,187,2076
13,3,2886,Holstein,603,238,269,0,48,6,1049,1022,558,538,715,260,791,172,286,125,208,2071
4,6,1216,Silenen,14477,2647,416,1444,48,2,1100,968,527,524,677,340,727,167,213,118,229,2068
10,2,2124,Broc,1004,433,231,200,34,10,1039,1029,513,566,627,362,826,288,215,133,190,2068
2,2,413,Koppigen,693,164,426,0,45,10,1060,1006,552,505,675,334,748,206,227,119,196,2066
21,7,5017,Sant'Antonino,658,292,230,6,55,18,1045,1021,491,669,693,213,794,197,213,170,214,2066
26,2,6784,Courgenay,1842,787,753,154,66,13,1024,1038,500,508,670,384,836,244,276,140,176,2062
21,7,5221,Savosa,74,13,7,0,38,0,967,1094,346,603,715,397,862,286,279,152,145,2061
19,3,4202,Meisterschwanden,426,80,262,0,52,4,1056,999,520,566,729,240,807,213,276,129,189,2055
19,3,4135,Gontenschwil,969,272,585,0,71,9,1036,1019,507,561,667,320,818,234,265,122,197,2055
19,3,4169,Kaisten,1418,638,612,0,49,15,1062,992,542,637,654,221,771,178,231,137,225,2054
2,2,762,Diemtigen,12997,3890,1301,5099,79,10,1049,1005,541,526,655,332,781,229,249,97,206,2054
10,2,2198,Granges-Paccot,400,63,201,0,45,11,1033,1009,524,799,551,168,859,280,251,143,185,2042
22,1,5601,Chexbres,214,30,119,0,32,1,939,1102,430,544,613,454,887,334,290,106,157,2041
2,2,424,Wynigen,2830,1051,1628,0,70,2,989,1048,536,572,600,329,770,213,234,111,212,2037
20,5,4951,Wigoltingen,1720,218,1294,0,68,7,1029,1007,591,510,650,285,752,202,221,101,228,2036
25,1,6602,Anieres,387,30,249,0,84,1,957,1074,576,485,690,280,682,143,209,123,207,2031
25,1,6641,Troinex,339,21,236,0,68,0,995,1035,551,586,621,272,771,195,245,143,188,2030
18,5,3731,Felsberg,1340,584,115,156,36,3,1008,1021,587,589,621,232,792,209,261,101,221,2029
19,3,4240,Waltenschwil,455,97,264,0,53,9,1006,1023,563,591,692,183,775,176,270,110,219,2029
13,3,2772,Pfeffingen,489,253,163,0,49,0,1035,992,506,448,836,237,775,144,302,126,203,2027
1,4,225,Rickenbach (ZH),604,136,371,0,49,8,1027,1000,514,528,670,315,823,201,333,89,200,2027
2,2,562,Aeschi bei Spiez,3099,839,615,820,74,4,1027,998,609,523,577,316,740,223,229,71,217,2025
13,3,2793,Zwingen,462,178,156,0,32,25,1034,983,499,706,597,215,826,223,306,113,184,2017
3,6,1097,Rickenbach (LU),940,246,587,0,46,19,1016,1001,650,591,537,239,682,144,188,101,249,2017
2,2,332,Madiswil,1526,502,917,0,54,8,977,1038,476,605,594,340,820,233,288,110,189,2015
11,2,2516,Deitingen,764,176,419,0,54,7,993,1018,509,505,698,299,772,189,277,100,206,2011
